sample_id,score
R4083890,-0.2542953024699601
R8423894,-0.6039817858296906
R8011910,-0.2549574777765939
R5334541,-0.0068263063082561
R5126867,-0.1350025400985462
R5447358,-0.2044719058831612
R2398607,-0.2140605682840115
R4226008,-0.2856048170565881
R2721311,-0.1955681625413071
R5973191,-0.2306090827984601
R7651923,-0.1809843463979167
R2167020,-0.4003193962989097
R8466373,-0.0944454599827769
R9255058,-0.1282261165334612
R3740754,-0.203776098182545
R8434166,-0.4533332781846274
R2636782,-0.0405754934493096
R4597099,-0.0599605145789229
R6352170,-0.4223374641165326
R3209518,-0.1499048540949535
R9557117,-0.3896276845124616
R3535957,-0.2814030546870721
R8062004,-0.1493584960579235
R3922205,-0.2345316042110135
R9064073,-0.5279000984125526
R8093392,-0.1652624502334714
R2884953,-0.0777352942578522
R1924801,-0.2198534543484289
R7325259,-0.3809861134016075
R2347173,-0.5220885794736855
R7096488,-0.2515705921397488
R7647669,-0.1363415018405842
R2348092,-0.2647844433273492
R9170872,-0.457493545025239
R1326552,-0.4808127883236619
R2373966,-0.184859061329419
R5133113,-0.3320519600790799
R5173480,0.0541713477394138
R1262106,-0.0244116847562982
R3898333,-0.1774969966335421
R7594705,-0.4120141334022489
R2928383,-0.1527992151205807
R6268135,-0.2615327738330269
R9419876,-0.3818550669223782
R6280004,-0.2772539205348066
R8428404,0.0104049447936968
R2166876,-0.4706909480623463
R3279589,-0.2734876142355714
R3509724,-0.5780953882652662
R1954385,-0.5053363222979989
R6122967,-0.3091194647679093
R5893965,-0.511111337464895
R2543886,-0.3671849958914262
R6103640,0.0451803898456436
R1496775,-0.3156348845112713
R8645947,-0.0939629057040527
R2635318,-0.1941925318751702
R1969233,-0.370304343239102
R8971831,0.0506429385456086
R3039703,-0.0744249538400119
R2992930,-0.4530853883995972
R3877498,-0.0009202184011591
R7518527,-0.1029621701708677
R9583560,-0.4836486919228093
R1015854,-0.4755441428601101
R1956018,-0.1732081244916085
R4790045,-0.2849148798956379
R1028639,-0.1663480270701681
R4590536,-0.3186207608879252
R5357999,-0.525355019112866
R2396089,-0.5407975290489432
R5862122,-0.029595810064266
R1034846,-0.237743744872344
R3799220,-0.4898682868018523
R3110303,-0.0660718713581905
R4332132,-0.2393378653458219
R5405023,-0.5271627543932723
R8850524,-0.1803700147745355
R8223945,-0.1850285876593856
R3553915,-0.2406280481850054
R3008520,0.0439796369439453
R8216364,-0.4375121014876547
R6289070,-0.3329403463042616
R5369295,-0.1506071863112529
R1018391,-0.2551305439513817
R3450006,-0.3356868833499298
R5505495,-0.0187351650512042
R5256488,-0.2693725558218776
R9330569,-0.0197784407111244
R1827081,-0.5336901628004072
R5676537,-0.3105760041012671
R4047989,-0.1300773483181188
R3841825,-0.1076398049258575
R3631183,-0.0682937802766421
R7157957,-0.362308112904578
R1489314,-0.480020091038203
R6802400,0.0206227570615532
R7366225,0.0166103961561449
R1105988,-0.2750965424901376
R3257830,0.0230179381920076
R8457289,-0.4409540234103136
R9587366,-0.209578591186188
R1956123,-0.207601284830432
R4583840,-0.3083284925469197
R4789993,-0.3335814266384213
R9163526,-0.2215677343324991
R9127940,-0.1131774972305482
R7698208,-0.3937888684548877
R8882846,-0.2666671616496638
R5162558,-0.2563401080953381
R2731324,-0.2507970166182441
R7539797,-0.1739290116419783
R1620679,-0.2395522491148217
R8785791,-0.249567382239974
R8477425,-0.3662895100891227
R5850046,-0.0868114449394232
R2903862,-0.2206308375975064
R3477250,-0.5849696101001792
R5313591,0.0517856147700513
R6132310,-0.3236521661240757
R5374583,-0.2362621033288292
R8075334,-0.1920150108673641
R1664857,-0.5613624345572601
R8781115,-0.2504305682559404
R2045909,0.022311700857883
R3187497,-0.3209600471488968
R8046664,-0.292620821352425
R8813354,-0.319470264835416
R7767837,-0.1417848659540882
R9821425,-0.5266527185754363
R6157726,-0.0749687474682787
R2386521,-0.4239357311472117
R5965031,-0.2070874381230847
R3727306,-0.0915789363069216
R7208968,-0.3206436997876257
R2837225,-0.560461796332259
R4480046,-0.0203277766984134
R7141740,-0.4080859485842699
R5541746,-0.0722344694144305
R1476204,-0.0073937934933299
R7070153,-0.4160434376454968
R2455930,-0.1784873095190483
R2420066,-0.2252441801694686
R5690684,-0.3561292410610541
R4244951,-0.3504481830007646
R2732138,-0.3865094631070123
R1743384,-0.6145460059137642
R7604075,-0.1949070818552304
R2626224,-0.4474541684848869
R7090624,0.0110913986480765
R2616766,-0.1665141489331627
R4996203,-0.2228686125558373
R8155560,-0.6245031157541481
R7272395,-0.171580470050174
R2975126,-0.1762278735279679
R5553042,-0.1470105112160766
R2474257,-0.5686005030568335
R6854293,-0.6512932995657246
R2879330,-0.5699156943630254
R5956387,-0.1850632593899374
R4620717,0.0799710954058922
R8834184,-0.3340949887182073
R3757880,-0.423552532437907
R5907586,-0.521805522731554
R7418040,-0.5283698568550865
R4260171,-0.1345172608764692
R6879714,-0.459886376253698
R3811781,-0.2796480609255125
R7696135,-0.2271485707772276
R5656511,-0.1684080659825254
R3151599,-0.3704263187681937
R1407047,-0.2854197083086356
R7506996,0.0119557711535438
R4602424,-0.1092308569720024
R1956458,-0.1684526506246671
R5955028,-0.048483332349496
R1609849,-0.4273740905415579
R4527133,-0.319858723497562
R8197015,-0.2673927737466982
R8845676,-0.3246381884138452
R2624931,-0.3369960037589199
R6622577,-0.3628130995527105
R7029629,-0.2230424153594543
R4254299,-0.2321704833014573
R1246326,-0.3522258286519888
R8615683,-0.4739541903414033
R8266864,-0.4113712339013591
R5936361,-0.134570395087637
